
=== GRAPH INFO ===
Nodi: 166266
Archi: 476183
Duration (sec): 152408393 = 4y in interval [1610801082, 1763209475]
Delta (sec): 1495 = 24min55s


=== InStar Counts by Size (grouped by size) ===
Totale pattern: 55403

size 2 → 20993 pattern
size 3 → 12087 pattern
size 4 → 4437 pattern
size 5 → 9700 pattern
size 6 → 2771 pattern
size 7 → 1167 pattern
size 8 → 807 pattern
size 9 → 486 pattern
size 10 → 623 pattern
size 11 → 313 pattern
size 12 → 355 pattern
size 13 → 184 pattern
size 14 → 170 pattern
size 15 → 204 pattern
size 16 → 115 pattern
size 17 → 81 pattern
size 18 → 82 pattern
size 19 → 62 pattern
size 20 → 123 pattern
size 21 → 43 pattern
size 22 → 41 pattern
size 23 → 33 pattern
size 24 → 43 pattern
size 25 → 51 pattern
size 26 → 33 pattern
size 27 → 37 pattern
size 28 → 25 pattern
size 29 → 22 pattern
size 30 → 60 pattern
size 31 → 17 pattern
size 32 → 18 pattern
size 33 → 11 pattern
size 34 → 6 pattern
size 35 → 15 pattern
size 36 → 10 pattern
size 37 → 6 pattern
size 38 → 9 pattern
size 39 → 4 pattern
size 40 → 14 pattern
size 41 → 6 pattern
size 42 → 6 pattern
size 43 → 6 pattern
size 44 → 3 pattern
size 45 → 7 pattern
size 46 → 4 pattern
size 47 → 3 pattern
size 48 → 6 pattern
size 49 → 2 pattern
size 50 → 10 pattern
size 51 → 5 pattern
size 52 → 4 pattern
size 53 → 2 pattern
size 54 → 3 pattern
size 55 → 4 pattern
size 56 → 3 pattern
size 57 → 4 pattern
size 58 → 1 pattern
size 59 → 3 pattern
size 60 → 3 pattern
size 61 → 1 pattern
size 62 → 1 pattern
size 64 → 2 pattern
size 65 → 4 pattern
size 68 → 2 pattern
size 69 → 2 pattern
size 70 → 1 pattern
size 72 → 1 pattern
size 74 → 1 pattern
size 75 → 1 pattern
size 76 → 1 pattern
size 78 → 1 pattern
size 81 → 1 pattern
size 82 → 1 pattern
size 83 → 2 pattern
size 85 → 1 pattern
size 89 → 2 pattern
size 90 → 1 pattern
size 94 → 1 pattern
size 96 → 1 pattern
size 97 → 2 pattern
size 100 → 1 pattern
size 101 → 2 pattern
size 103 → 1 pattern
size 111 → 1 pattern
size 115 → 1 pattern
size 119 → 1 pattern
size 123 → 1 pattern
size 126 → 1 pattern
size 134 → 1 pattern
size 144 → 1 pattern
size 149 → 1 pattern
size 150 → 1 pattern
size 155 → 1 pattern
size 165 → 1 pattern
size 167 → 1 pattern
size 175 → 1 pattern
size 178 → 1 pattern
size 179 → 1 pattern
size 182 → 1 pattern
size 189 → 1 pattern
size 190 → 1 pattern
size 191 → 1 pattern
size 205 → 1 pattern
size 209 → 1 pattern
size 215 → 1 pattern
size 225 → 1 pattern
size 227 → 1 pattern
size 235 → 1 pattern
size 2602 → 1 pattern

=== GiveAndTake Counts by Size (grouped by size) ===
Totale pattern: 2304

size 2 → 2184 pattern
size 4 → 87 pattern
size 6 → 15 pattern
size 8 → 7 pattern
size 10 → 5 pattern
size 12 → 1 pattern
size 14 → 1 pattern
size 16 → 1 pattern
size 20 → 3 pattern

=== ReceiveAndForwardNFT Counts by Size (grouped by size) ===
